SSN,Disease_Type,Age_Group,Gender,State,Race,Smoking,Alcohol_Consumption,Education_Level,Insurance_Type,Exercise_Frequency,Diet_Quality,Sleep_Hours,Stress_Level,Occupation,Family_History,BMI_Category,Income_Level
689-83-8500,Multiple Sclerosis,31-45,Female,Georgia,Hispanic,Never,Never,Less than high school,Medicaid,5+ times/week,Excellent,7-8,Low,Education,Yes,Normal,"$30,000-$50,000"
207-58-9604,Multiple Sclerosis,46-60,Female,Ohio,Caucasian,Never,Occasional,Bachelor's degree,Private,1-2 times/week,Poor,6-7,High,Unemployed,No,Normal,"Less than $30,000"
180-10-8277,Fibromyalgia,31-45,Male,Texas,Hispanic,Current,Regular,High school graduate,Private,5+ times/week,Good,7-8,High,Education,Yes,Underweight,"$30,000-$50,000"
757-88-3831,Hypertension,46-60,Male,Virginia,Hispanic,Former,Regular,Bachelor's degree,Uninsured,5+ times/week,Good,Less than 6,Low,Service Industry,Yes,Normal,"$75,000-$100,000"
943-28-4698,Heart Disease,31-45,Other,Colorado,Hispanic,Former,Heavy,Bachelor's degree,Private,Never,Good,8+,Medium,Healthcare,Yes,Normal,"$100,000+"
105-10-3914,Hypertension,61+,Female,Illinois,Other,Former,Never,Bachelor's degree,Uninsured,3-4 times/week,Excellent,6-7,Medium,Retired,Yes,Overweight,"$75,000-$100,000"
953-93-7096,Breast Cancer,31-45,Other,Georgia,Hispanic,Current,Regular,Bachelor's degree,Private,3-4 times/week,Good,6-7,Medium,Healthcare,No,Obese,"$75,000-$100,000"
389-10-8660,Lung Cancer,18-30,Female,California,Caucasian,Former,Occasional,Some college,Private,1-2 times/week,Excellent,7-8,Low,Retired,Yes,Obese,"Less than $30,000"
560-65-6791,Multiple Sclerosis,46-60,Male,Colorado,Hispanic,Never,Never,Bachelor's degree,Medicaid,3-4 times/week,Poor,6-7,Low,Office/Desk Job,Yes,Overweight,"$75,000-$100,000"
339-53-9545,Hypertension,31-45,Other,Arizona,Caucasian,Former,Never,Bachelor's degree,Medicare,3-4 times/week,Fair,6-7,Medium,Office/Desk Job,Yes,Underweight,"$75,000-$100,000"
334-68-7962,Colorectal Cancer,46-60,Male,Colorado,Caucasian,Never,Regular,Less than high school,Medicaid,Never,Poor,7-8,Low,Office/Desk Job,Yes,Normal,"$75,000-$100,000"
892-92-8205,Heart Disease,61+,Female,Colorado,Caucasian,Current,Regular,Less than high school,Private,5+ times/week,Excellent,7-8,Medium,Office/Desk Job,No,Underweight,"$75,000-$100,000"
562-57-7553,Arthritis,61+,Other,Arizona,Other,Former,Occasional,Bachelor's degree,Medicare,Never,Excellent,6-7,High,Retired,Yes,Normal,"$100,000+"
251-14-5272,Hypertension,31-45,Other,Illinois,Other,Never,Heavy,High school graduate,Medicare,Never,Excellent,7-8,Low,Manual Labor,Yes,Obese,"$100,000+"
877-14-5652,Sleep Apnea,46-60,Female,Florida,Black,Never,Occasional,Some college,Uninsured,1-2 times/week,Good,8+,Medium,Unemployed,No,Underweight,"$50,000-$75,000"
482-68-1004,Multiple Sclerosis,31-45,Female,Michigan,Asian,Never,Occasional,Less than high school,Medicaid,3-4 times/week,Good,6-7,Low,Healthcare,No,Obese,"$50,000-$75,000"
482-86-9432,Heart Disease,61+,Male,Colorado,Hispanic,Never,Regular,High school graduate,Medicaid,1-2 times/week,Good,7-8,Medium,Retired,No,Obese,"Less than $30,000"
155-19-9154,Sleep Apnea,18-30,Male,Virginia,Other,Current,Regular,High school graduate,Private,3-4 times/week,Excellent,Less than 6,High,Unemployed,Yes,Obese,"Less than $30,000"
147-38-1669,Liver Disease,46-60,Male,Massachusetts,Other,Former,Occasional,Graduate degree,Medicare,3-4 times/week,Fair,7-8,Low,Unemployed,Yes,Obese,"$75,000-$100,000"
409-43-2717,Hypertension,46-60,Other,North Carolina,Caucasian,Never,Regular,Bachelor's degree,Medicaid,Never,Fair,Less than 6,Medium,Service Industry,No,Obese,"$100,000+"
884-60-1283,Arthritis,61+,Female,Georgia,Other,Former,Heavy,Graduate degree,Medicare,1-2 times/week,Good,Less than 6,High,Healthcare,Yes,Underweight,"$75,000-$100,000"
726-97-7981,Liver Disease,61+,Other,Illinois,Black,Current,Never,Less than high school,Private,3-4 times/week,Good,8+,Medium,Service Industry,No,Obese,"$30,000-$50,000"
887-26-7795,Heart Disease,61+,Male,Colorado,Caucasian,Former,Regular,High school graduate,Uninsured,5+ times/week,Excellent,8+,High,Retired,Yes,Normal,"$75,000-$100,000"
104-65-9194,Colorectal Cancer,46-60,Female,New York,Other,Never,Never,Some college,Private,Never,Excellent,6-7,Low,Education,Yes,Overweight,"$75,000-$100,000"
752-82-7556,Hypertension,18-30,Female,Illinois,Asian,Former,Heavy,High school graduate,Medicaid,Never,Good,Less than 6,Low,Education,No,Normal,"$50,000-$75,000"
713-32-8112,Hypertension,18-30,Male,Arizona,Black,Former,Never,Bachelor's degree,Medicare,1-2 times/week,Fair,8+,High,Healthcare,Yes,Obese,"$75,000-$100,000"
422-39-5311,Liver Disease,18-30,Female,Georgia,Hispanic,Former,Regular,High school graduate,Medicare,1-2 times/week,Fair,8+,High,Retired,No,Overweight,"$50,000-$75,000"
105-20-3304,Multiple Sclerosis,46-60,Female,Georgia,Other,Former,Occasional,Graduate degree,Uninsured,Never,Excellent,8+,Low,Healthcare,No,Overweight,"$30,000-$50,000"
572-24-7110,Obesity,46-60,Other,Florida,Caucasian,Current,Regular,Bachelor's degree,Private,Never,Fair,7-8,High,Manual Labor,No,Overweight,"$75,000-$100,000"
752-57-1336,Heart Disease,31-45,Other,Illinois,Black,Former,Heavy,Bachelor's degree,Medicaid,5+ times/week,Excellent,7-8,Medium,Manual Labor,No,Normal,"$75,000-$100,000"
463-62-5452,Chronic Respiratory Disease,31-45,Male,Arizona,Asian,Current,Regular,Some college,Medicare,3-4 times/week,Fair,Less than 6,Medium,Manual Labor,Yes,Obese,"$75,000-$100,000"
705-53-9194,Arthritis,31-45,Male,Illinois,Other,Never,Heavy,Some college,Private,3-4 times/week,Excellent,Less than 6,Medium,Manual Labor,No,Overweight,"$100,000+"
132-68-2396,Heart Disease,61+,Female,Massachusetts,Black,Former,Heavy,Less than high school,Private,Never,Poor,8+,Medium,Unemployed,No,Overweight,"Less than $30,000"
377-94-3040,Lung Cancer,61+,Other,Pennsylvania,Hispanic,Current,Occasional,Bachelor's degree,Medicare,3-4 times/week,Fair,Less than 6,High,Education,No,Obese,"$75,000-$100,000"
226-33-5090,Fibromyalgia,46-60,Other,Massachusetts,Caucasian,Current,Heavy,Less than high school,Medicare,1-2 times/week,Poor,8+,Low,Office/Desk Job,Yes,Overweight,"Less than $30,000"
432-91-8806,Obesity,61+,Male,Pennsylvania,Other,Current,Regular,High school graduate,Medicaid,1-2 times/week,Fair,6-7,High,Retired,Yes,Underweight,"$75,000-$100,000"
541-18-5884,Arthritis,61+,Male,Washington,Native American,Former,Never,Graduate degree,Private,1-2 times/week,Fair,6-7,Low,Retired,No,Overweight,"$75,000-$100,000"
721-80-7038,Sleep Apnea,31-45,Other,Massachusetts,Hispanic,Never,Regular,High school graduate,Private,3-4 times/week,Excellent,7-8,Medium,Retired,No,Overweight,"$50,000-$75,000"
999-64-9909,Chronic Kidney Disease,46-60,Male,New York,Other,Never,Never,Graduate degree,Medicaid,Never,Excellent,7-8,Low,Service Industry,Yes,Normal,"$75,000-$100,000"
799-61-5384,Colorectal Cancer,46-60,Other,Massachusetts,Caucasian,Never,Occasional,Bachelor's degree,Uninsured,3-4 times/week,Poor,8+,Medium,Office/Desk Job,No,Overweight,"$30,000-$50,000"
108-82-4673,Depression,46-60,Female,California,Hispanic,Former,Occasional,Graduate degree,Uninsured,1-2 times/week,Excellent,Less than 6,High,Office/Desk Job,Yes,Normal,"$100,000+"
868-35-5899,Type 2 Diabetes,46-60,Male,Florida,Asian,Never,Occasional,High school graduate,Medicare,5+ times/week,Fair,7-8,Low,Healthcare,No,Obese,"$30,000-$50,000"
790-38-2736,Heart Disease,31-45,Male,Florida,Other,Never,Heavy,Less than high school,Medicare,1-2 times/week,Excellent,6-7,High,Healthcare,Yes,Obese,"Less than $30,000"
452-81-8746,Liver Disease,61+,Male,Washington,Black,Former,Regular,Less than high school,Medicare,5+ times/week,Good,Less than 6,Medium,Retired,No,Underweight,"$30,000-$50,000"
496-53-6910,Heart Disease,61+,Other,Virginia,Hispanic,Former,Regular,Graduate degree,Uninsured,3-4 times/week,Excellent,6-7,Low,Retired,Yes,Obese,"$100,000+"
847-68-8910,Hypertension,46-60,Other,California,Hispanic,Former,Regular,Less than high school,Medicaid,3-4 times/week,Poor,7-8,Medium,Unemployed,Yes,Obese,"Less than $30,000"
877-54-5820,Lung Cancer,31-45,Other,Arizona,Black,Never,Regular,Some college,Medicaid,3-4 times/week,Poor,8+,Low,Healthcare,No,Overweight,"$50,000-$75,000"
349-80-1364,Fibromyalgia,61+,Other,Ohio,Other,Current,Occasional,Some college,Uninsured,5+ times/week,Good,6-7,High,Retired,No,Overweight,"$100,000+"
226-44-8760,Colorectal Cancer,61+,Female,New York,Caucasian,Current,Heavy,High school graduate,Private,3-4 times/week,Poor,8+,Medium,Retired,Yes,Normal,"Less than $30,000"
126-72-5196,Obesity,46-60,Male,Virginia,Hispanic,Former,Heavy,Less than high school,Uninsured,1-2 times/week,Excellent,7-8,Low,Manual Labor,Yes,Obese,"$50,000-$75,000"
648-55-5124,Sleep Apnea,46-60,Female,Virginia,Asian,Former,Never,Some college,Private,1-2 times/week,Good,7-8,Medium,Unemployed,Yes,Underweight,"Less than $30,000"
652-23-1348,Sleep Apnea,18-30,Other,California,Hispanic,Former,Occasional,Less than high school,Uninsured,1-2 times/week,Excellent,Less than 6,Medium,Manual Labor,Yes,Underweight,"$50,000-$75,000"
398-83-2151,Breast Cancer,46-60,Other,Michigan,Asian,Never,Regular,Graduate degree,Private,Never,Good,6-7,Low,Retired,Yes,Overweight,"$75,000-$100,000"
546-24-9733,Lung Cancer,18-30,Other,North Carolina,Black,Current,Occasional,Some college,Uninsured,3-4 times/week,Poor,6-7,Low,Office/Desk Job,Yes,Overweight,"Less than $30,000"
975-98-1580,Multiple Sclerosis,61+,Female,Texas,Hispanic,Former,Never,High school graduate,Medicaid,3-4 times/week,Good,Less than 6,Medium,Retired,Yes,Underweight,"$50,000-$75,000"
537-26-2032,Depression,61+,Other,California,Hispanic,Never,Never,Some college,Medicaid,5+ times/week,Excellent,Less than 6,Low,Retired,No,Underweight,"$75,000-$100,000"
698-40-9828,Obesity,46-60,Female,Ohio,Caucasian,Current,Heavy,Bachelor's degree,Uninsured,Never,Fair,6-7,Low,Unemployed,No,Overweight,"$75,000-$100,000"
944-48-9412,Fibromyalgia,61+,Male,Pennsylvania,Hispanic,Former,Regular,Some college,Medicare,Never,Good,Less than 6,High,Education,No,Underweight,"$50,000-$75,000"
709-23-3875,Liver Disease,18-30,Female,North Carolina,Black,Current,Heavy,Graduate degree,Medicare,Never,Fair,8+,Medium,Healthcare,No,Normal,"Less than $30,000"
312-81-3683,Lung Cancer,61+,Other,New York,Caucasian,Current,Occasional,Graduate degree,Uninsured,5+ times/week,Excellent,Less than 6,High,Healthcare,Yes,Normal,"$100,000+"
207-65-6459,Obesity,46-60,Male,Massachusetts,Caucasian,Former,Heavy,Bachelor's degree,Medicare,5+ times/week,Excellent,6-7,Low,Education,No,Normal,"$75,000-$100,000"
895-50-2882,Heart Disease,46-60,Female,Texas,Caucasian,Current,Heavy,Some college,Medicare,1-2 times/week,Poor,Less than 6,Medium,Unemployed,Yes,Normal,"Less than $30,000"
513-59-5836,Fibromyalgia,31-45,Male,Washington,Black,Never,Heavy,Bachelor's degree,Uninsured,5+ times/week,Poor,Less than 6,High,Service Industry,Yes,Underweight,"$30,000-$50,000"
891-17-5868,Fibromyalgia,46-60,Female,Colorado,Other,Former,Never,Bachelor's degree,Medicaid,3-4 times/week,Excellent,8+,Low,Education,Yes,Normal,"$30,000-$50,000"
372-68-4099,Arthritis,61+,Other,Illinois,Hispanic,Never,Occasional,Some college,Medicaid,1-2 times/week,Poor,7-8,Low,Education,Yes,Underweight,"$75,000-$100,000"
664-12-8349,Chronic Kidney Disease,31-45,Male,Florida,Caucasian,Current,Occasional,Graduate degree,Medicaid,1-2 times/week,Good,Less than 6,High,Healthcare,Yes,Overweight,"$75,000-$100,000"
289-79-2976,Depression,18-30,Male,Texas,Black,Former,Occasional,Graduate degree,Medicare,1-2 times/week,Fair,6-7,High,Service Industry,Yes,Underweight,"$75,000-$100,000"
227-73-6717,Breast Cancer,46-60,Male,Illinois,Hispanic,Former,Heavy,Less than high school,Private,Never,Fair,Less than 6,Low,Service Industry,Yes,Overweight,"$75,000-$100,000"
265-12-3809,Depression,31-45,Female,Florida,Black,Never,Heavy,Bachelor's degree,Medicare,5+ times/week,Poor,6-7,Low,Unemployed,No,Normal,"$30,000-$50,000"
488-54-4375,Chronic Respiratory Disease,46-60,Female,Texas,Native American,Current,Regular,Some college,Medicaid,Never,Poor,6-7,High,Retired,Yes,Obese,"$100,000+"
114-18-7576,Lung Cancer,46-60,Male,California,Hispanic,Never,Heavy,Some college,Medicare,5+ times/week,Poor,6-7,Low,Office/Desk Job,No,Normal,"$75,000-$100,000"
631-56-2881,Heart Disease,61+,Male,Georgia,Hispanic,Never,Heavy,High school graduate,Medicare,1-2 times/week,Fair,Less than 6,High,Retired,Yes,Normal,"$100,000+"
435-58-4488,Chronic Respiratory Disease,31-45,Other,Pennsylvania,Hispanic,Current,Regular,Less than high school,Medicare,1-2 times/week,Excellent,6-7,Medium,Education,Yes,Normal,"$100,000+"
817-97-2648,Lung Cancer,31-45,Other,Ohio,Caucasian,Current,Never,Bachelor's degree,Medicaid,5+ times/week,Fair,Less than 6,High,Retired,Yes,Underweight,"$100,000+"
343-90-8456,Heart Disease,61+,Other,Ohio,Black,Never,Never,Bachelor's degree,Uninsured,3-4 times/week,Excellent,Less than 6,High,Retired,No,Underweight,"$100,000+"
275-43-1700,Multiple Sclerosis,46-60,Other,Illinois,Caucasian,Former,Regular,Some college,Medicaid,1-2 times/week,Good,7-8,Low,Service Industry,No,Normal,"$30,000-$50,000"
662-73-3684,Arthritis,31-45,Other,Georgia,Native American,Current,Never,Bachelor's degree,Medicare,5+ times/week,Good,8+,Medium,Education,No,Normal,"$100,000+"
768-58-4466,Obesity,61+,Other,North Carolina,Caucasian,Current,Regular,Less than high school,Medicaid,3-4 times/week,Fair,8+,Low,Manual Labor,Yes,Normal,"Less than $30,000"
248-38-7118,Type 2 Diabetes,61+,Female,Colorado,Hispanic,Current,Occasional,Some college,Medicaid,5+ times/week,Fair,8+,Medium,Service Industry,No,Obese,"$50,000-$75,000"
519-70-1384,Hypertension,46-60,Male,Georgia,Black,Current,Never,Bachelor's degree,Medicaid,Never,Good,Less than 6,Low,Service Industry,Yes,Overweight,"$100,000+"
866-90-2164,Multiple Sclerosis,18-30,Female,New York,Hispanic,Never,Never,High school graduate,Private,5+ times/week,Fair,8+,Low,Office/Desk Job,No,Underweight,"$100,000+"
575-69-5147,Liver Disease,46-60,Other,Texas,Native American,Former,Never,Some college,Medicaid,3-4 times/week,Good,6-7,Medium,Retired,No,Underweight,"Less than $30,000"
498-61-3375,Chronic Kidney Disease,18-30,Other,Washington,Black,Never,Occasional,Some college,Medicaid,3-4 times/week,Fair,Less than 6,High,Office/Desk Job,Yes,Obese,"$50,000-$75,000"
847-53-2043,Lung Cancer,46-60,Male,North Carolina,Native American,Current,Never,Less than high school,Medicare,5+ times/week,Good,Less than 6,High,Unemployed,Yes,Normal,"$50,000-$75,000"
530-98-8086,Type 2 Diabetes,61+,Other,North Carolina,Other,Former,Regular,Graduate degree,Private,5+ times/week,Excellent,Less than 6,Medium,Retired,Yes,Obese,"$100,000+"
401-47-8620,Hypertension,61+,Female,Pennsylvania,Other,Former,Heavy,Less than high school,Private,Never,Fair,7-8,Low,Manual Labor,No,Underweight,"$30,000-$50,000"
590-98-4303,Multiple Sclerosis,31-45,Other,Pennsylvania,Caucasian,Current,Occasional,High school graduate,Private,1-2 times/week,Fair,8+,Medium,Healthcare,No,Overweight,"$100,000+"
203-30-6738,Chronic Kidney Disease,46-60,Female,Virginia,Native American,Never,Regular,High school graduate,Medicaid,Never,Good,6-7,Low,Service Industry,No,Overweight,"$50,000-$75,000"
431-55-5183,Obesity,46-60,Other,Illinois,Other,Current,Heavy,Some college,Medicare,3-4 times/week,Fair,Less than 6,High,Office/Desk Job,Yes,Underweight,"$30,000-$50,000"
445-24-3184,Arthritis,31-45,Male,Washington,Black,Former,Occasional,Some college,Private,5+ times/week,Fair,6-7,Medium,Office/Desk Job,No,Underweight,"$30,000-$50,000"
567-60-2683,Heart Disease,31-45,Other,Massachusetts,Caucasian,Never,Regular,High school graduate,Private,1-2 times/week,Excellent,6-7,High,Healthcare,No,Overweight,"Less than $30,000"
287-51-9798,Multiple Sclerosis,61+,Male,Washington,Native American,Current,Never,Bachelor's degree,Uninsured,5+ times/week,Excellent,Less than 6,Medium,Retired,No,Normal,"Less than $30,000"
321-36-9607,Breast Cancer,31-45,Female,Virginia,Asian,Never,Regular,Graduate degree,Private,Never,Excellent,6-7,Low,Service Industry,No,Normal,"$50,000-$75,000"
804-17-5495,Chronic Respiratory Disease,31-45,Male,Georgia,Asian,Former,Heavy,Some college,Medicaid,3-4 times/week,Good,7-8,High,Service Industry,Yes,Normal,"$100,000+"
226-67-7259,Hypertension,46-60,Female,Massachusetts,Black,Former,Never,Some college,Medicaid,5+ times/week,Poor,7-8,High,Retired,No,Normal,"$100,000+"
783-53-5353,Lung Cancer,31-45,Other,California,Other,Current,Never,Less than high school,Medicare,1-2 times/week,Good,7-8,Low,Manual Labor,No,Obese,"Less than $30,000"
421-28-7868,Chronic Kidney Disease,46-60,Male,Arizona,Hispanic,Never,Occasional,High school graduate,Uninsured,Never,Excellent,6-7,High,Office/Desk Job,No,Overweight,"Less than $30,000"
700-52-6409,Obesity,46-60,Male,New York,Caucasian,Former,Heavy,Graduate degree,Uninsured,3-4 times/week,Excellent,7-8,Medium,Office/Desk Job,No,Underweight,"Less than $30,000"
691-62-6148,Lung Cancer,46-60,Female,Massachusetts,Asian,Former,Never,Graduate degree,Uninsured,1-2 times/week,Good,7-8,Medium,Office/Desk Job,Yes,Normal,"$100,000+"
701-16-6782,Hypertension,31-45,Other,Florida,Other,Former,Heavy,Less than high school,Medicare,3-4 times/week,Excellent,6-7,Low,Service Industry,No,Overweight,"$100,000+"
303-10-2788,Arthritis,61+,Female,California,Native American,Never,Occasional,Bachelor's degree,Medicare,1-2 times/week,Excellent,Less than 6,High,Retired,Yes,Underweight,"$100,000+"
111-37-9515,Chronic Respiratory Disease,61+,Other,Georgia,Asian,Current,Regular,Bachelor's degree,Medicare,Never,Fair,6-7,High,Unemployed,Yes,Underweight,"$100,000+"
704-79-4113,Fibromyalgia,61+,Male,Pennsylvania,Other,Former,Never,Some college,Uninsured,3-4 times/week,Good,7-8,Low,Retired,Yes,Overweight,"$30,000-$50,000"
769-44-5960,Breast Cancer,46-60,Other,Ohio,Other,Former,Heavy,Some college,Medicare,1-2 times/week,Good,Less than 6,Medium,Retired,No,Underweight,"$50,000-$75,000"
649-53-2156,Obesity,46-60,Male,Georgia,Asian,Never,Occasional,High school graduate,Private,1-2 times/week,Good,7-8,Low,Manual Labor,No,Obese,"$50,000-$75,000"
517-31-4856,Heart Disease,46-60,Female,California,Caucasian,Current,Heavy,Less than high school,Medicaid,Never,Good,6-7,Low,Office/Desk Job,No,Overweight,"$30,000-$50,000"
837-72-7100,Chronic Respiratory Disease,31-45,Male,Texas,Other,Never,Heavy,High school graduate,Medicare,5+ times/week,Fair,Less than 6,High,Healthcare,Yes,Normal,"Less than $30,000"
926-60-1574,Sleep Apnea,46-60,Other,New York,Black,Never,Heavy,Graduate degree,Medicaid,3-4 times/week,Fair,Less than 6,High,Retired,Yes,Overweight,"Less than $30,000"
983-16-9033,Breast Cancer,18-30,Female,Florida,Hispanic,Current,Regular,Less than high school,Medicaid,5+ times/week,Poor,7-8,Medium,Manual Labor,No,Underweight,"$50,000-$75,000"
271-82-7787,Fibromyalgia,46-60,Male,Georgia,Native American,Current,Heavy,High school graduate,Private,5+ times/week,Excellent,7-8,Low,Retired,No,Normal,"$30,000-$50,000"
745-50-8561,Multiple Sclerosis,31-45,Female,Pennsylvania,Asian,Never,Never,Some college,Uninsured,3-4 times/week,Poor,6-7,High,Retired,No,Overweight,"Less than $30,000"
724-58-2738,Hypertension,46-60,Male,Michigan,Caucasian,Former,Never,High school graduate,Uninsured,3-4 times/week,Poor,7-8,Low,Office/Desk Job,No,Obese,"$50,000-$75,000"
264-25-6213,Arthritis,61+,Other,Washington,Black,Never,Regular,Graduate degree,Medicare,5+ times/week,Good,7-8,Medium,Retired,No,Overweight,"$100,000+"
885-47-4022,Chronic Kidney Disease,61+,Male,Washington,Hispanic,Never,Never,Less than high school,Medicare,5+ times/week,Poor,6-7,Low,Education,No,Underweight,"$100,000+"
673-19-6200,Sleep Apnea,46-60,Female,New York,Hispanic,Former,Regular,Less than high school,Medicaid,1-2 times/week,Poor,Less than 6,Medium,Service Industry,Yes,Underweight,"$75,000-$100,000"
910-79-4483,Hypertension,46-60,Other,North Carolina,Native American,Former,Never,Some college,Medicaid,1-2 times/week,Good,7-8,Low,Office/Desk Job,Yes,Obese,"Less than $30,000"
464-40-7394,Liver Disease,61+,Female,Florida,Black,Current,Heavy,Some college,Medicare,3-4 times/week,Poor,Less than 6,Medium,Retired,Yes,Overweight,"$75,000-$100,000"
405-21-6640,Fibromyalgia,31-45,Female,Colorado,Asian,Never,Regular,High school graduate,Medicare,5+ times/week,Good,Less than 6,Low,Manual Labor,No,Underweight,"$75,000-$100,000"
860-96-4228,Chronic Respiratory Disease,46-60,Other,California,Caucasian,Current,Never,High school graduate,Medicare,1-2 times/week,Poor,Less than 6,High,Unemployed,Yes,Obese,"$75,000-$100,000"
264-71-8793,Type 2 Diabetes,31-45,Male,Virginia,Native American,Never,Heavy,Some college,Medicare,Never,Fair,8+,Low,Healthcare,Yes,Overweight,"$30,000-$50,000"
834-21-7965,Heart Disease,46-60,Female,Illinois,Hispanic,Former,Regular,Graduate degree,Medicare,1-2 times/week,Good,6-7,Medium,Education,No,Obese,"$75,000-$100,000"
848-69-9304,Depression,61+,Female,Washington,Black,Former,Heavy,Bachelor's degree,Uninsured,3-4 times/week,Poor,8+,Low,Unemployed,Yes,Underweight,"$100,000+"
731-64-9164,Fibromyalgia,31-45,Male,Virginia,Black,Former,Occasional,High school graduate,Private,Never,Excellent,6-7,High,Education,No,Normal,"$75,000-$100,000"
146-30-7663,Chronic Respiratory Disease,61+,Male,Pennsylvania,Native American,Current,Occasional,High school graduate,Private,5+ times/week,Good,6-7,High,Retired,No,Normal,"$30,000-$50,000"
722-45-9883,Lung Cancer,18-30,Other,New York,Native American,Never,Occasional,High school graduate,Uninsured,1-2 times/week,Poor,Less than 6,High,Manual Labor,Yes,Underweight,"$30,000-$50,000"
630-59-6393,Chronic Kidney Disease,46-60,Other,Ohio,Asian,Former,Regular,Some college,Uninsured,3-4 times/week,Good,7-8,Medium,Healthcare,Yes,Obese,"$50,000-$75,000"
910-54-9627,Fibromyalgia,18-30,Other,Washington,Hispanic,Former,Occasional,High school graduate,Medicaid,Never,Poor,Less than 6,Low,Manual Labor,Yes,Obese,"$30,000-$50,000"
622-20-5784,Colorectal Cancer,61+,Other,North Carolina,Hispanic,Former,Heavy,Less than high school,Uninsured,3-4 times/week,Fair,8+,Medium,Office/Desk Job,Yes,Normal,"Less than $30,000"
230-11-6595,Obesity,46-60,Male,Pennsylvania,Asian,Current,Heavy,High school graduate,Medicaid,3-4 times/week,Poor,7-8,Medium,Healthcare,Yes,Overweight,"Less than $30,000"
588-71-9798,Type 2 Diabetes,31-45,Other,North Carolina,Black,Current,Occasional,Bachelor's degree,Medicare,1-2 times/week,Excellent,7-8,High,Manual Labor,No,Obese,"$75,000-$100,000"
370-82-9826,Obesity,46-60,Other,California,Asian,Current,Never,High school graduate,Private,Never,Fair,6-7,Medium,Service Industry,No,Obese,"Less than $30,000"
871-95-8327,Multiple Sclerosis,46-60,Other,New York,Native American,Current,Occasional,Graduate degree,Private,3-4 times/week,Excellent,6-7,Medium,Retired,Yes,Obese,"$100,000+"
314-91-6225,Chronic Respiratory Disease,61+,Other,Ohio,Black,Current,Regular,Less than high school,Uninsured,Never,Excellent,Less than 6,Medium,Retired,No,Normal,"$30,000-$50,000"
959-10-3766,Breast Cancer,46-60,Other,Colorado,Asian,Never,Never,Bachelor's degree,Uninsured,1-2 times/week,Excellent,6-7,Medium,Office/Desk Job,Yes,Obese,"$75,000-$100,000"
175-67-5637,Obesity,31-45,Female,Massachusetts,Black,Never,Regular,High school graduate,Private,1-2 times/week,Fair,Less than 6,Low,Office/Desk Job,No,Obese,"$50,000-$75,000"
457-47-4878,Arthritis,31-45,Other,Ohio,Caucasian,Current,Heavy,Some college,Medicare,5+ times/week,Excellent,7-8,Medium,Service Industry,No,Normal,"$100,000+"
908-74-4015,Chronic Respiratory Disease,31-45,Other,Pennsylvania,Hispanic,Former,Regular,Some college,Medicaid,Never,Good,Less than 6,High,Education,No,Underweight,"$50,000-$75,000"
183-19-8770,Depression,46-60,Male,Texas,Asian,Former,Heavy,Some college,Private,Never,Poor,7-8,Medium,Retired,No,Overweight,"$30,000-$50,000"
858-13-4616,Lung Cancer,61+,Other,Ohio,Caucasian,Current,Occasional,Less than high school,Uninsured,3-4 times/week,Poor,6-7,High,Retired,Yes,Underweight,"Less than $30,000"
222-75-4156,Breast Cancer,46-60,Female,Arizona,Native American,Former,Heavy,Bachelor's degree,Medicaid,Never,Poor,Less than 6,Medium,Retired,No,Underweight,"$75,000-$100,000"
277-32-4277,Chronic Respiratory Disease,31-45,Male,Georgia,Native American,Current,Occasional,Less than high school,Uninsured,3-4 times/week,Excellent,Less than 6,High,Healthcare,Yes,Normal,"$75,000-$100,000"
677-49-2350,Depression,61+,Male,Massachusetts,Hispanic,Former,Occasional,Some college,Private,1-2 times/week,Good,6-7,High,Education,No,Normal,"$75,000-$100,000"
535-89-9592,Lung Cancer,46-60,Male,North Carolina,Black,Never,Heavy,Bachelor's degree,Private,5+ times/week,Excellent,6-7,High,Healthcare,No,Obese,"$75,000-$100,000"
902-61-8196,Multiple Sclerosis,18-30,Female,New York,Black,Current,Regular,Less than high school,Medicaid,3-4 times/week,Poor,7-8,Low,Service Industry,No,Underweight,"$100,000+"
106-48-6939,Multiple Sclerosis,61+,Other,Ohio,Black,Former,Heavy,High school graduate,Private,1-2 times/week,Poor,8+,Low,Office/Desk Job,Yes,Obese,"$100,000+"
512-22-7905,Chronic Respiratory Disease,18-30,Male,Pennsylvania,Native American,Current,Regular,Bachelor's degree,Medicaid,1-2 times/week,Fair,6-7,Low,Unemployed,No,Underweight,"$75,000-$100,000"
395-97-7224,Arthritis,61+,Other,Texas,Asian,Current,Regular,Graduate degree,Uninsured,Never,Good,Less than 6,High,Retired,Yes,Overweight,"$100,000+"
798-14-6296,Heart Disease,61+,Other,Massachusetts,Native American,Never,Occasional,Graduate degree,Medicare,1-2 times/week,Good,Less than 6,High,Service Industry,Yes,Overweight,"$75,000-$100,000"
541-79-3386,Heart Disease,46-60,Other,Ohio,Other,Never,Regular,Graduate degree,Medicare,1-2 times/week,Excellent,8+,Medium,Manual Labor,Yes,Obese,"Less than $30,000"
955-99-2416,Multiple Sclerosis,61+,Other,Massachusetts,Hispanic,Current,Heavy,Graduate degree,Medicare,Never,Fair,Less than 6,Medium,Retired,No,Overweight,"$75,000-$100,000"
